company_location,company_name,date_expiry,date_posted,employment_type,job_description,job_requirements,job_title,num_apps,salary_lower,salary_type,salary_upper,seniority
"Eon Shenton, 70 Shenton Way 079118",Mangosteen Bcc Pte. Ltd.,09 Feb 2019,10 Jan 2019,Full Time,"Roles & ResponsibilitiesBAMBU is a FinTech startup, who specializes in providing Robo-Advisory solutions for banks, insurance companies to non-financial industries like Telcos & Ecommerce. Leveraging on machine learning, we believe we can change the way people save, invest and manage their wealth. We have been rapidly expanding and in a short span of two years, have clinched 10 clients across ASEAN, EMEA, and US. We were chosen as the best startup for Fintech final 2017 as well as Fintech of the Year by The Asset Awards 2017. Here at BAMBU, we believe wealth management should be made easily accessible, through delivering great products that provide beautiful user journeys and experiences. We don’t just want to make it simpler, we want to redefine the entire way wealth services are delivered. We are looking for a Business Analyst who shares the same passion with us. You will be at forefront of the implementation of our technology, communication with our clients and ensuring our cutting-edge products are being delivered. You should be a multidisciplinary person who can speak both tech and business language. Key Responsibilities:  Work closely with our development team to determine the requirements of a project or program, and communicating them clearly to stakeholders, facilitators and partners. Implement advanced strategies for gathering, reviewing and analyzing data requirements Convert client requirements into business logic  Conduct various requirements workshop to ensure smooth delivery Working with stakeholders at all levels as defined by the individuals project Assisting with integration and acceptance testing Providing support during and post implementation Ensure smooth communication with our client by acting as a ‘translator’ between business and IT Testing of APIs from external software providers  ",Requirements Excellent interpersonal and communication skills – written and verbal  Experience working directly with customers   Experience working in a startup environment Experience with agile software delivery Experience with software-as-a-service and API-based business models   Understanding of microservice architecture Banking Experience in Wealth Management/ Group Technology and Operations preferred  Javascript or Python experience preferred ,Business Analyst,32.0,5000.0,Monthly,8000.0,Executive
,Wsh Experts Pte. Ltd.,09 Feb 2019,10 Jan 2019,Full Time,"Roles & Responsibilities Assist HOD/Info & Stats on IT administrative, operational and project management duties.  Manage IT strategic plans implementations in schools. Work with HOD/Info & Stats on gathering the IT needs of the school and proposing IT solutions that meet these requirements. Proactively scans the market for new technology tools that support teaching and learning. Supervise and manage the tasks carried out by the TechnicalAssistant(s) in the school. Coordinate and work with other 3rd party/in-house IT trainer, and any other IT support staff in the school. Collating data and updating of records for students, Work with HOD/Info & Stats on maintaining the school website. Manages the School Wireless Network System ","Requirements Graduate degree or equivalent with relevant IT related fields. Proficient in MS Office, Windows and iOS applications Preferably good knowledge of the ICT systems/challenges faced in MOE Schools. Good team leader with a high level of initiative and independence. Have experiences and able to work in a fast paced environment. Have experiences handling and managing wireless network system. ",Ict Executive | Moe School,9.0,1800.0,Monthly,2800.0,Non-Executive
,Woodpecker Asia Tech Pte. Ltd.,09 Feb 2019,10 Jan 2019,Permanent,"Roles & Responsibilities  About GoBear  We thought you might like to know GoBear is Asia’s first and only metasearch engine for financial products. We spend our days trying to figure out how to make comparing insurance and banking products as awesome as possible. Our happy place is where users don’t even have to think twice – they can choose a financial product that’s right for them and feel confident with their choice (we know that’s a nerdy happy place, but we can’t help what we love). We’re looking for people who break the mould; who’ve got a hankering to do something completely different. Obviously we want our bears to be smart and hardworking but, more importantly, we want people on our team who love technology, who love their job, and who aren’t afraid to fail while trying something completely crazy.  The Job  Reporting directly to the Chief Financial Officer, the incumbent of this role would be responsible for the risk management and assessment of our lending business.   Responsibilities:   You will lead GoBear’s expansion in consumer lending from the risk perspective: together with the product and commercial teams, you will build the business from the ground up  You will prepare financial models and risk score cards based on your deep understanding of lending in cash economies. You will use a mix of both traditional and alternative data  You will monitor, review and actively manage existing transactions in the portfolio (including representing the company in Lender/Customer meetings)  You will ensure compliance with all internal policies and guidelines during the approval stage and through portfolio monitoring of the deals  You will actively contribute in setting pricing on loans and monitoring the profitability of the country loan portfolios. You will also provide corrective steps to countries to ensure the unit profitability of their loans  You will perform competitive rate analysis and make frequent recommendations to the Executive committee  You will keep yourself abreast of rate changes, laws, policies and procedures, products and services and the latest rates and regulations  You will contribute to the development and introduction of deal & portfolio specific credit risk frameworks to ensure a healthy portfolio development  You will manage and monitor operational indicators and ensure timely reporting on activities to the CFO/CEO, other Executives, and ultimately, the Board of Directors  You will provide relevant lending-related and credit risk-related input to the annual budget, and maintain accountability for achieving budgetary goals and limits  You will manage negotiations with syndication partners and represent the company at (syndicate) bank meetings  You will hire, train and coach risk and portfolio managers in order to enhance their professional knowledge and skills  ","RequirementsGot skills?  This fast growing, dynamic start-up needs a hands on Risk Management Director with most of (preferably all!) skills and qualifications:   You have a minimum Bachelor’s degree in business, finance or risk management ; A master’s degree or MBA would be highly preferred.  You bring in at least 10 years of relevant work experience in risk management, specifically in the lending space  You have a track record in generating score cards with great gini coefficient  You have experience with non-traditional credit risk scoring models that work in cash economies  You have a keen interest in broader risk management and risk control arrangements  You are able to work with alternative data in the broadest sense  You have strong proficiency in dealing with borrowers situated in cash economies  You have a strong ability to exercise oversight over governance, risk, compliance and control arrangements in a complex financial operation  You bring in the ability to work as a member of a fast-paced, transaction-oriented team with the capability to deal more multiple deals simultaneously  You possess strong communication skills and the ability to work in a multicultural environment    Does this sound like you?   You have the ability to drive and implement insights in a challenging environment  You are highly analytical & commercially focused  You are a collaborator, able to partner with C-level & Country Directors  You are able to build and manage a team     What we offer  Look forward to a pleasant, vibrant work environment in one of the fastest growing online brands in Asia. You will be learning from a multi-cultural team of passionate professionals who are eager to disrupt the FinTech space. Our work makes us innovative, agile, brave and result-driven but we also just love what we do. Openness and transparency form the core value of our company culture. We value freedom and high performance. We like it when you show curiosity for new ideas that create a difference and discover practical solutions to tough problems. ",Head Of Risk - Risk Management Director,21.0,10000.0,Monthly,15000.0,Senior Management
16 Changi North Way 498772,Panalpina World Transport (Singapore) Pte. Ltd.,09 Feb 2019,10 Jan 2019,Permanent,"Roles & ResponsibilitiesThe primary purpose within Pricing & Trade Lane Management is to act as a revenue manager along his/her respective trade lanes, to steer volumes and price levels to enable cost optimal production and profitably grow Panalpina business (Inbound + Outbound). Key Tasks  Execute the Global Pricing & Trade Lane strategy and define, maintain and drive the pricing strategy for Air Freight Product Singapore & Malaysia. Develop and boost the trade lanes (volumes, revenues and gross profit) Establish and implement the Country Minimum Selling Rates (MSR) in alignment with the Country Air Freight Team Give full visibility of proposed selling rates & provide general support to the local Tender Management to ensure profitable new business growth Drive long-term growth by working closely with the local Tender Management on RFI/RFP/RFQ Lead & define short-term growth (spot requests) together with the Pricing Management Team Challenge and validate the proposed MSRs from overseas stations Handle and offer collect request from foreign PA houses or Agents Manage the import sourcing and act in case of discrepancies Define corrective actions together with the BU Air Freight Procurement Manager & the Country Sales Organization to reach agreed sales and yield targets as well as carrier commitments Coordination of data gathering, development of objectives and action plan with the Region Trade Lane Managers Provide trade lane market input for key trade lanes to the CHoAF Singapore & Malaysia Be the connector between Air Freight Product and Marketing & Sales for any matters concerning rate and rate structure Supervise & support the Procurement Management Team Regular calls & meetings with the respective target countries Participate in joint customer visits (local & overseas) Position requires international travel up to 5-10% ",Requirements Minimum 10 years of relevant experience Bachelor's Degree/Professional Degree in Business Studies/Administration/Management or equivalent Profound knowledge of the Air Freight industry Operational know-how (Customer- & Operational Service functions) Local laws and regulations Business Administration Finance Process engineering and improvement methodologies ,Country Air Freight Pricing / Trade Lane Manager Singapore & Malaysia,13.0,6500.0,Monthly,8700.0,"Manager, Professional"
"Mapletree Business City, 80 Pasir Panjang Road 117372",Wirecard Asia Holding Pte. Ltd.,09 Feb 2019,10 Jan 2019,Permanent,"Roles & Responsibilities The Senior QA/Test Analyst will play a key role in ensuring appropriate levels of quality assurance that meets Wirecard’s standards. He/she will be acting as the owner/gatekeeper of production software quality as required by the demands of the business. Test Design and Analysis, which include the development of Test Scenarios, Test Cases, and Test Procedures; adhering to Wirecard’s internal Testing Methodologies and industry best practice. Test Data Preparation and Execution as per the priority and schedule prepared for each project.  Ensure accurate Execution Log is produced with all test result are captured for audit purpose. Defect Management to ensure defects are identified, logged with accurate details and information to reproduce, monitored and followed up for resolution, retested and verified, and closed in timely manner agreed in SLA. Working closely with Regional QA counterpart and Implementation Specialist for ensuring baselined Entry Criteria and Exit Criteria are met. Provide QA support for Production Deployments and investigation of Production issues, this may include monitoring/analysis of system log files and reproduction of issues in Test environment. Support ongoing/regression QA activities.  This may include automate test cases and document regression testing. Perform other QA related tasks within Senior QA/Test Analyst capacity under the guidance of Team Lead. This may include certain degrees of Test Planning and Monitoring/Control. ","Requirements Extensive knowledge of the Payment Card Industry – Minimum of 5 years in a similar role. Hands on experience in testing Web Based application with good understanding of Software Testing Life Cycle and Methodology.  Hands on experience with common payment industry oriented tools e.g. VTS, FinSim, MCPS, MAS and so on. Solid analytical skill and ability to comprehend complex Business Requirements/Technical Solutions and map them into Test Scenarios/Test Cases. Working knowledge of Database Fundamentals, Internet Technology, Web Services, API, and SOAP UI. Working knowledge of Software Testing and Defect Tracking tools such as Quality Centre/JIRA Excellent verbal, written, presentation and interpersonal skills. Demonstrated thoroughness, attention to detail, and strong ownership of work. Self-motivated with the ability to prioritize, meet deadlines, and manage changing priorities. Note that some after-hours or off-peak hours might be required Excellent verbal, written, presentation and interpersonal skills; with ability to work in a global team, readiness to participate and help others, and willingness to accommodate team members in different time zones. Enthusiasm for learning, ability to quickly learn and apply new technical skills, eagerness to innovate and share ideas. ",Senior Qa Engineer,10.0,7500.0,Monthly,9000.0,Manager
"Grande Building, 8 Commonwealth Lane 149555",Moneysmart Singapore Pte. Ltd.,09 Feb 2019,10 Jan 2019,Full Time,"Roles & ResponsibilitiesMoneySmart Group is South East Asia's leading personal financial portal helping consumers compare loans, insurance and credit cards. MoneySmart was founded in 2009 with the simple aim to help consumers make better financial decisions. Through aggregating and consolidating product information to a single platform for comparison MoneySmart empowers consumers to make better financial decisions. We have put the power back into the consumers’ hands. Whether it is for loans, insurance, or credit cards, MoneySmart makes information easy to understand and products easy to apply for – all in one place. On the back of a Series B funding in June 2017 and growing success, MoneySmart is now focused on increasing our investment into performance and brand marketing, whilst expanding into additional markets, starting with Hong Kong. Mission Your mission will be to plan and strategize performance marketing campaigns for the various products that are carried on MoneySmart’s website. You will be responsible for translating business level goals into actionable marketing campaigns. You will work closely with the various product heads to plan marketing campaigns and initiatives that meet their KPI. You will also be responsible for training new hires and sharing knowledge and best practices through the marketing department and within the organization. In a Nutshell  Media planning and buying for local performance marketing campaigns across all digital platforms - Search, Display, Social, Mobile App and Digital Brand. Translate group level objectives into strategic performance marketing plans for Singapore across product verticals You will have a hands-on approach to executing and monitoring all search, social and display campaigns; build campaigns in line with marketing goals, optimize performance towards KPIs and analyze data and market trends You will regularly present and deliver results and insights to stakeholders on the marketing campaigns that are being run and the overall digital landscape You will devise new testing ideas and provide recommendations on new products, channels and targeting methods to reach new audiences, drive growth and maintain a profitable ROI You will work closely with the commercial and sales teams to ensure close coordination between partner media agencies on their digital marketing campaigns Develop, compile, measure, and interpret key metrics, including lead acquisition and conversion rates, tied to specific performance marketing campaigns. You will manage a team of performance marketing specialists and help to identify, support and build key capabilities and skill sets needed to meet our business and performance marketing objectives Help to devise and coordinate training for junior team members and help ensure their learning & development growth is continually growing Work closely with Brand, CRM and Organic Performance teams to plan, strategize and execute on a broader, integrated marketing level  Some key metrics that you will be driving  Gross Margin ROAS Traffic Quality Cost per acquisition ","RequirementsRequirements  Minimum 3 years of direct, relevant experience in performance marketing and campaign management (strong preference for experience within a leading eCommerce and tech company) Deep knowledge of digital media planning, media buying and Ad Tech solutions Proven track record in delivering successful digital marketing campaigns deploying a varied set of strategic targeting tactics tied to campaign goals Demonstrate a good understanding of audience segmentation for each product and identify existing, as well as new and innovative ways to reach and connect with them Strong communication skills, attention to detail and analytical mindset essential  Cultural Competencies  Build a positive team and family spirit Engage, disagree and commit Be humble Do more with less Always pursue learning and growth Stay hungry and take ownership ",Performance Marketing Lead,9.0,4000.0,Monthly,6000.0,Manager
"Grande Building, 8 Commonwealth Lane 149555",Moneysmart Singapore Pte. Ltd.,09 Feb 2019,10 Jan 2019,Full Time,"Roles & ResponsibilitiesMoneySmart helps you maximize your money by empowering you to make smarter financial decisions through our suite of useful tools and awesome content. MoneySmart.sg is Singapore's #1 personal finance portal. We were voted the top 3 Startups Singaporeans want to work for in a recent CareerBuilder survey and are the top Fintech Startup in the list. http://www.hrmasia.com/content/revealed-top-start-ups-singaporeans-want-work The company was founded in 2009 with the simple aim to help Singaporeans make better financial decisions. With multiple banks and insurers pushing countless products out to consumers in the market today, navigating one's way through all the marketing and technical jargon while dodging the tactics of their overly pushy sales representatives simultaneously can be a major challenge, even for the experienced consumer. By aggregating and consolidating product information to a single platform for comparison that's personalized to your unique consumer profile, we have put the power back into your hands. Whether it's your loan, insurance or credit card, we make information easy to understand and products easy to apply for - all in one place. We are a market leader in Singapore and Indonesia and expanding fast into the region. Mission Your mission is to build a world class product management team of product managers, designers, UX specialists and data scientists all tied together by a genuine product culture of rapid testing and learning.   The role will require you to be able to distill, document and evangelise MoneySmart’s product vision, and that you know how to get things done in a agile and fast paced environment, using the latest and best practices across product planning, customer discovery, product discovery, and product development.  In a Nutshell  Build and lead a regional team of product managers, UX researchers, designers and analysts Coach, mentor and develop the very best capabilities in a team of product managers and analysts Support annual planning activities and engage in the development of strategic themes Lead quarterly planning activities and engage in the development of product strategies Develop and implement quarterly product roadmaps to provide a balance of business needs and customer/consumer experience priorities within the context of delivering MoneySmart’s strategic themes Lead ideation, development, launch, and iteration of approaches to improve revenue and user experience for our site across desktop, mobile and apps Conduct market and competitor analysis to assess market need and ensure products are competitive Influence stakeholders through constant evangelism to build cross-functional buy-in and commitment to a shared product vision Gain a deep understanding of customer experience, identify and fill product gaps and generate new ideas that grow market share, improve customer experience and drive growth Think multi-platform! We’re across online, mobile, video, social and events – so how can we build great products and content cleverly across all these mediums. Keep an ear out to our users through social networks, conversations with our sales team, events and face-to-face to continuously make improvements, get new ideas and get a better understanding of our consumers. Manage the entire product lifecycle, from identifying user needs, planning the business case to creating products and services that are valuable, usable and feasible. Identify potential partnerships with external resources for product development, software/services. Take the initiative for delivering communications and conducting regular brainstorming across the organisation on product features, performance; acting as liaison for training needs as emerging products are launched ","RequirementsCompetencies  Expert on modern forms of product planning, customer discovery, product discovery, product development process and execution Strong analytical, business, project management, and organizational skills Exceptional influencing skills Self-motivated, positive-thinking, team player, leader, problem-solver Entrepreneurial and commercially minded, highly creative, and able to innovate quickly Passion for data, testing, and building a world-class customer experience Excellent verbal and written communication skills and the willingness to present and defend your ideas to other key stakeholders, including partners and customers Passion for developing and nurturing people  Requirements  BA/BS degree, MBA preferred 8+ years product management experience 3+ years people leadership experience Deep knowledge of web standards in design and usability Understanding of SEA online/ mobile financial product comparison market and competitive landscape Expert in scrum and agile processes Expert in product development tools (i.e PivotalTracker, ProductPlan, Confluence) preferred  Cultural Competencies  Build a positive team and family spirit Engage, disagree and commit Be humble Do more with less Always pursue learning and growth Stay hungry and take ownership ",Product Lead,15.0,10000.0,Monthly,13000.0,Manager
409 Race Course Road 218657,Globaltix Pte. Ltd.,09 Feb 2019,10 Jan 2019,"Permanent, Full Time","Roles & ResponsibilitiesWe are looking for an independent, self-starter, motivated Regional Digital Marketing Executive/Manager based in Singapore responsible in overseeing the online marketing strategy. Plan and execute digital (including email) marketing campaigns and design, maintain and supply content for company website(s). In addition, engaging with the public through social media and ensure visitor flow to digital sites. Analyzing and reporting on visitor data and devise new ways to market products.     MAIN DUTIES AND RESPONSIBILITIES  These duties and responsibilities are intended to describe the general nature and level of work being performed by the individual assigned to this position. They are not intended to be a complete list of all duties, responsibilities, and/or skills required. Other tasks may be assigned as needed.    Plan and execute all digital marketing, including SEO/SEM, marketing database, email, social media and display advertising campaigns Design, build and maintain our social media presence Measure and report performance of all digital marketing campaigns, and assess against goals (ROI and KPIs) Create online banner adverts and oversee pay per click (PPC) ad management Identify trends and insights, and optimize spend and performance based on the insights Manage and maintain the company website(s) Write and optimize content for the website and social networking accounts Track and analyse website traffic flow and provide regular internal reports Brainstorm new and creative growth strategies Plan, execute, and measure experiments and conversion tests Collaborate with internal teams to create landing pages and optimize user experience Utilize strong analytical ability to evaluate end-to-end customer experience across multiple channels and customer touch points Instrument conversion points and optimize user funnels Collaborate with agencies and other vendor partners Work on printed material to supplement online products Attend product launches and networking events Perform related duties and responsibilities as required. ","RequirementsREQUIREMENTS    Candidate must possess at least Diploma/Advanced/Higher/Graduate Diploma in sales & marketing or related fields. Minimum 1-2 years of experience in digital marketing and design; prior experience in tourism industry preferred. Proven working experience in digital marketing Demonstrable experience leading and managing SEO/SEM, marketing database, email, social media and/or display advertising campaigns Highly creative with experience in identifying target audiences and devising digital campaigns that engage, inform and motivate Experience in optimizing landing pages and user funnels Solid knowledge of website analytics tools (e.g., Google Analytics) Working knowledge of ad serving tools (e.g., DART, Atlas) Experience in setting up and optimizing Google Adwords campaigns Working knowledge of HTML, CSS, and JavaScript development and constraints Strong analytical skills and data-driven thinking Up-to-date with the latest trends and best practices in online marketing and measurement ",Regional Digital Marketing Executive  /  Manager,4.0,2500.0,Monthly,3500.0,Executive
"Popular Estate, 2 Jalan Dermawan 668947",Aaytozee @ Hillview Pte. Ltd.,09 Feb 2019,10 Jan 2019,Full Time,"Roles & ResponsibilitiesThe Speech Therapist uses a series of assessment methods to diagnose and manage disorders of communication. These disorders may include developmental language delay, articulation disorder, phonological disorder, stuttering, specific language impairment and cognitive communication disorder. Other aspects of the role include diagnosing and managing feeding and swallowing disorders in order to ensure adequate nutrition and hydration. ·         Assess and identify the individual needs of clients by using specific assessment tools ·         Formulate, develop and implement appropriate programs to individual learning needs ·         Monitor and evaluate clients’ individualize needs and progress ·         Be part of the Multi-disciplinary team of various disciplines in the program ·         Educate and Train caregivers in carrying out home therapy and program ·         Keep abreast of current research and trends and assist in data collection and support action research                 activities",Requirements·         Recognised Diploma / Bachelor Degree in OT / ST / Psy ·         Registered or eligible for registration with the Allied Health Professional Council in Singapore as Full or                   Conditional Registrant. (This is only applicable to OT & ST) ·         Fresh graduates are welcome to apply,Speech Therapist,5.0,4500.0,Monthly,6000.0,Professional
"Wcega Tower, 21 Bukit Batok Crescent 658065",Chambers Property Management Services Pte Ltd,09 Feb 2019,10 Jan 2019,Full Time,Roles & Responsibilities Perform Interco Reconciliation and Liaison Perform Accounts-Related Data Entry Process Vendor Invoices and Cheque Payments Ensure timely financial and management reporting and efficient daily processing of payments and transactions Any ad-hoc duties as and when assigned ,"Requirements LCCI/Diploma in Accountancy or equivalent 3-4 years accounting experience Proficient in MS Excel and Words Able to multi-task, meticulous and independent ",Account Executive,2.0,2300.0,Monthly,2500.0,Executive
