company_location,company_name,date_expiry,date_posted,employment_type,job_description,job_requirements,job_title,num_apps,salary_lower,salary_type,salary_upper,seniority
"One George Street, 1 George Street 049145",Linklaters Singapore Pte. Ltd.,15 Feb 2019,16 Jan 2019,Permanent,"Roles & ResponsibilitiesWe are looking for a junior Associate to join our Asia TMT team based in Singapore. As our clients digitally transform their operations, technology and data are becoming critical to their businesses. Our practice offers a range of products to support our clients’ digital transformations, from negotiating commercial technology transactions to advising on laws like data privacy and cybersecurity that impact the use of technology.  We are a regional practice, and service clients throughout Southeast Asia and North Asia. Innovation and entrepreneurship are critical to our team’s mindset. If you are keen to be part of a growing team in a dynamic environment, we’d love to speak with you! Key Responsibilities:  Draft and review documentation, demonstrate familiarity with precedents and market standards; Provide commercial and legal advice to the client; Supervise team and demonstrate control through effective control; and Network with clients to capitalize on new business opportunities. To succeed in this Associate (TMT) role, you should be able to contribute to knowhow, communicate assertively when under pressure and be a proactive team player.   ",Requirements Excellent academic credentials 2 to 4 years PQE Strong networking and organizational skills Excellent interpersonal and communication skills ,Associate Tmt,8.0,150000.0,Annually,200000.0,Executive
"Peninsula Plaza, 111 North Bridge Road 179098",Oaktree Consulting,15 Feb 2019,16 Jan 2019,"Permanent, Full Time","Roles & Responsibilities             Our Client is a reputable company in the Telecommunication/IT industry.     Position 1 - Network Engineer Job Responsibilities - Deploy, manage and support networking services in LAN, WAN and Internet network infrastructure - Manage, customize and maintain network management systems such as HPOV, Solarwind and Ciscoworks - Provide technical support and consultation for enhancement and change to network configuration - Maintain network documentation. Prepare operation and management reports - Define processes to manage the network infrastructure  Job Requirements - Degree/Diploma/ITE in IT or related discipline - Minimum 2 years' practical experience in maintaining and managing data network infrastructure - Excellent knowledge in the field of data networking - Possesses Cisco certification (CCNA/CCNP) - Good communication and writing skills  Please submit resumes with the following details in MS Word format to john@oaktree.com.sg:  - Position applying for - Current remuneration - Expected remuneration - Notice period   John Goh Meng Chye  EA License No : 06C4642 EA Reg No : R1102621   We regret that only shortlisted candidates will be notified.          ",Requirements  Only shortlisted candidates will be notified ,Network Engineer(Ccna / Ccnp),1.0,3000.0,Monthly,5000.0,"Manager, Executive"
"Asia Square Tower 1, 8 Marina View 018960",Capita Pte. Ltd.,15 Feb 2019,16 Jan 2019,"Temporary, Contract, Full Time","Roles & Responsibilities Work with business community and development teams on requirements elicitation and documentation for one or more projects Responsible to document business requirements, business process models, user stories (functional & non-functional), screen design/mock-ups, product backlog and prioritization of requirements. Analyse and propose data integration specifications for interface systems. Work with project teams to estimate efforts and establish requirements traceability. Work with the business community and development teams to ensure comprehensive user acceptance testing (UAT) plans and UAT test cases are developed/executed. Support business community with their User Acceptance Testing (UAT) and ensure completion per project schedule. Investigate and learn business issues and data challenges of the business. Conduct end user training for system implementations Provide on-going application support and be involved in various stages of the SDLC. Investigate, troubleshoot, resolve, test and deploy application issues. Manage vendors and contractors who are extended resources.   ","RequirementsRequirements / Qualifications     5 years of experience in developing applications equipped with strong knowledge of coding practices Good technical knowledge and experience in object-oriented programming Strong analytical skills and able to work under tight timelines Innovative, proactive and a strong team player Degree in Computer Science, Computer Engineering or equivalent    Interested candidates, who wish to apply for the above position; please send in your resume to techos@capitagrp.com and attention to FYE. Only shortlisted applicants will be notified by our consultants. EA license no.: 08C2893 REG No :R1544147",Senior Software Consultant,1.0,6000.0,Monthly,8000.0,"Executive, Senior Executive"
"One Marina Boulevard, 1 Marina Boulevard 018989",Workforce Singapore Agency,13 Jan 2020,16 Jan 2019,Permanent,"Roles & ResponsibilitiesResponsibilities You will lead and guide a team in supporting the jobs and skills pillar under the Industry Transformation Map (ITM) for the sector(s) under your purview. This includes:   Strategic Manpower Planning   Identify and assess key industry, manpower challenges and skills needs  Manage strategic partners and engage companies to diagnose gaps and identify opportunities Recommend the design of appropriate strategic human capital solutions based on industry or companies’ business and manpower needs  Stakeholder Engagement and Management  Establish and maintain effective relationships with strategic partners and stakeholders  Collaborate with industry stakeholders including government agencies, associations, tripartite partners, programme partners to develop and implement relevant manpower interventions to address industry manpower issues Consult with employers to promote adoption of WSG programmes and progressive human resource practices to address their manpower needs    Project Management  Plan and review budget requirements and ensure compliance to policies and processes Organise or support outreach and marketing events such as career events and industry engagements Track programmes’ progress and analyse industry related information to evaluate and make recommendations for management decision making  Requirements  Tertiary qualifications  At least 8 years of relevant work experience in industry engagement, account/ project management and/or consultancy roles, with experience in supervisory work Salary will commensurate with experience     Knowledge/Skills  Good understanding of the Air Transport/Logistics sectors’ background, trends, manpower skills needs and business value chain  Good understanding of various government initiatives in relation to manpower interventions in the relevant industries would be advantageous Strong written and spoken communication skills Strong persuasive and negotiation skills  Adept in stakeholder engagement and relationship building Ability to synthesise opinions and data for decision making and programme monitoring  Consulting skills would be an added advantage    Aptitudes/Abilities & Other Characteristics  Passionate, dedicated and driven individual  Resilient and agile to problem-solve and respond in a dynamic and fast-paced environment  Ability to multi-task and work with converging timelines Confident and comfortable with public-speaking  Ability to work independently and in teams Comfortable with data compilation and analysis Possess an entrepreneurial spirit  Innovative and comfortable in embracing digital and technological solutions Ability to lead and motivate team to achieve the set targets ",,"Principal Manager, Industry Development (Air Transport / Logistics) [Manufacturing Division]",0.0,,,,Middle Management
"Uob Plaza, 80 Raffles Place 048624",A*Star Research Entities,15 Feb 2019,16 Jan 2019,"Contract, Full Time","Roles & ResponsibilitiesThe Agency for Science, Technology and Research (A*STAR) is Singapore's lead public sector agency that fosters world-class scientific research and talent to drive economic growth and transform Singapore into a vibrant knowledge-based and innovation driven economy.  For more information about A*STAR, please visit: www.a-star.edu.sg • Support fabrication and testing of components produced via additive manufacturing technologies • Perform metallurgical preparation and materials characterisation • Good skills in recording data and preparing technical result reports • Perform hands-on experiments, including recording of experimental data and results • Support manufacturing development projects for industry implementation • Practice good housekeeping, organisation, and safety in the workplace • Train and guide other team members (permanent staff / interns) in metallurgical preparation and materials characterisation","Requirements Minimum Diploma in Aerospace, Mechanical, and Materials Engineering Prior work experience in additive manufacturing/3D printing is preferred Willing to quickly learn new technologies Good interpersonal and communication skills    The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.",Laboratory Officer / Senior Laboratory Officer (Artc),3.0,1900.0,Monthly,3800.0,Non-Executive
,Maf Intelligence Pte. Ltd.,15 Feb 2019,16 Jan 2019,"Permanent, Full Time","Roles & ResponsibilitiesWe are looking for a driven and analytical Back-End Web Developer to join our team. You will be working together with the Front-End Developer to build web service applications that will be used by thousands of customers. Your primary focus will be on the development of server-side logic (in Python), definition and maintenance of the central database, and ensuring high performance and responsiveness to requests from the front-end. You will also be responsible for integrating the front-end elements built by your co-workers into the application. A basic understanding of front-end technologies is therefore necessary as well. Responsibilities:  Research, evaluate and analyse technical and design requirements. Plan and implement model data structures for high scalability. Develop software related to portfolio asset and risk management. Create database schemas that represent and support business processes. Process multiple data sources, databases and output in different forms. Identify and suggest various methods to improve function efficiency and code quality. Validate models and algorithmic techniques. Implement automated testing platforms and unit tests. Troubleshoot and fix bugs/flaws to ensure servers are running optimally. Participate in all phases of the development life cycle. ","Requirements Degree in Computer Science or relevant fields. 2+ years of web API development experience preferred. Strong written and oral communication skills. Proficient knowledge of back-end programming language (Restful API). In-depth knowledge of different Python frameworks (e.g. Django, Flask). Understanding of at least one database connections (MySQL/PostgresSQL/MongoDB). Familiarity with data analysis tools (Numpy/Scipy/Pandas/Matlab). Familiarity with Linux/Unix/Shell environments. Strong hands-on skills in sourcing, cleaning, manipulating and analysing of large volumes of data. Basic understanding of front-end technologies and platforms, such as JavaScript, HTML5 and CSS3. User authentication and authorisation between multiple systems, servers and environments. Understanding of “session management” in a distributed server environment.   Programming Platform/Languages:  Linux/MacOS Python (Flask/DJANGO/Pyramid) HTML/CSS SQL (MySQl/PostGres/MongoDB)  To apply for this job opportunity, please send your updated resume to careers@mafint.com. We regret that only shortlisted candidates will be notified. Thank you.",Back-End Python Developer,2.0,3500.0,Monthly,5000.0,Executive
"Uob Plaza, 80 Raffles Place 048624",A*Star Research Entities,15 Feb 2019,16 Jan 2019,"Contract, Full Time","Roles & ResponsibilitiesThe Agency for Science, Technology and Research (A*STAR) is Singapore's lead public sector agency that fosters world-class scientific research and talent to drive economic growth and transform Singapore into a vibrant knowledge-based and innovation driven economy.  For more information about A*STAR, please visit: www.a-star.edu.sg IIoT (or Industrial Internet or Industry 4.0) is reshaping manufacturing by enabling the acquisition and accessibility of far greater amounts of data, at far greater speeds, and far more efficiently than before. It is one of the key enabling technologies for Industry 4.0, which is a name given to the current trend of automation and data exchange in manufacturing technologies. We are looking for a suitable candidate who can contribute to IIoT architecture design from the manufacturing point of view by considering all aspect of reliability, security, and agility needed for a factory of future.","Requirements Ph.D. in System architecture, network design, wire/wireless networking Experience candidates are preferred but entry level candidates with with strong analytical thinking will be considered  Excellent communication and technical writing skills Good analytical skills and team player   The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.",Scientist (Artc),1.0,4500.0,Monthly,9000.0,Non-Executive
"Golden Wall Centre, 89 Short Street 188216",Machspeed Human Resources Pte. Ltd.,15 Feb 2019,16 Jan 2019,Permanent,"Roles & Responsibilities  Part Time Admin Assistant ($10 per hour, 5 days, Mountbatten)  Part-time Position available Working for Property Agency  Job scope:  Coordinate with agents and potential customers pertaining to appointment matters Data entry and simple administrative tasks Posting and updating advertisements Answering incoming phone calls Organized files and documents Ad-hoc tasks assigned by the management   ","RequirementsRequirements:  Minimum GCE ‘N’ level with at least 1-year working experience Computer savvy Interest in social media & photography will be an added advantage Able to start immediately Salary: $9-10/h (part-time) Working hours: 5days, Flexible working hours (part-time) Working location: Mountbatten  We thank you for your interest in this position, applicants with relevant experience please send Microsoft word resume with expected salary to apply@machspeed.com.sg for faster processing, alternatively, please visit https://www.facebook.com/MachspeedHR for more jobs available, thank you. You may also call +6563362530 (Look for BingCheng) to find out more Thank you very much. Agency License No. 12C6200 EA Registration No: R1437671","Part Time Admin Assistant ($10 Per Hour, 5 Days, Mountbatten)",3.0,10.0,Monthly,10.0,Non-Executive
,A*Star Research Entities,15 Feb 2019,16 Jan 2019,"Contract, Full Time","Roles & ResponsibilitiesThe person will take on the primary role of managing the core BII network. Our BII network consist of a mid-sized data center, 2 levels of offices and one office in the next building. The person is expected to deploy new access switches and routing network/routing equipment. The person should have at least a few years experience with deploying and managing network equipment, routers and access switches. The person should be very comfortable with command-line and operating in Linux/BSD environment. The person should have some familiarity with the following requirements:  Experienced with at least one major brand of network equipment. Experienced with running firewalls on Linux (iptables) Some experience with routing protocols (eg. OSPF) and running network equipment on Linux/BSD platforms Comfortable with Linux/opensource network monitoring/security/diagnosis tools Knowledge of some shell scripting language is desirable ",Requirements Diploma/Degree in relevant field 6-8 years of working experience Able to research and solve problems independently Comfortable operating in an environment where there are a mix of technologies  The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice.   We regret that only shortlisted candidates will be notified.,Bii - Senior Systems And Network Engineer,0.0,3400.0,Monthly,6800.0,Non-Executive
"International Plaza, 10 Anson Road 079903",Ricardo Consultancy And Talent Staffing Pte. Ltd.,15 Feb 2019,16 Jan 2019,Full Time,"Roles & ResponsibilitiesThe Accountant reports to the Finance Manager (FM) of the organisation. He/She is involved in most, if not all aspects of accounting and oversees the day-to-day activities of the accounting team. He/She ensures that the organisation's finance function is well organised as well as producing timely and accurate financial statements and management accounts, thus achieving compliance with corporate policies and statutory requirements. He/She analyses data and understands the financial performance and position of the organisation in order to develop suitable accounting policies to meet reporting requirements and to produce any special reports required by the management team.The Accountant's role often involves leading a team of finance and accounting specialists and working closely with the internal and external auditors, bankers, and regulators. He/She must keep current with changing statutory requirements and tax laws and determine the implications of such changes to financial reporting. He/She may also work with the FM or the leadership team to help define the organisation's overall finance strategy.","Requirements~ Prepare accurate and timely financial statements. ~ Calculate taxable income and the income tax liabilities of the organisation. ~ Calculate the cost of different types of capital financial instruments and the overall costs of capital for the organisation. ·        preparing periodic financial statements, including profit and loss accounts, budgets, forecast, cash flows, variance analysis and commentaries ·        Prepare, analyze and report weekly, monthly, quarterly gross margin analysis by product by customer type especially material consumption by production. ·        Assist in month-end closing, prepare journal entries as necessary, analyze inventory evaluation, inventory roll forward ·        Review and analyze inventory and margin reports, conduct research and perform analytical studies in regards to cost analyses and profitability ·        Plan, study and collect data to determine costs of business activities   ·        Analyze changes in product design, raw materials, manufacturing methods or services provided, to determine effects on costs ·        Analyze actual manufacturing costs and prepare periodic reports comparing standard costs to actual production costs   ·        Analyze actual P&L vs budgeted P&L and prepare EBITDA bridge ·        Make estimates of new and proposed product costs   ·        Provide management with reports specifying and comparing factors affecting prices and profitability of products or services ·        Maintain Cost Accounting System.   ·        Conduct monthly cycle count and prepare variance report   ·        Calculate material cost, inventory cost and prepare inventory reconciliation report ·        Prepare inventories valuation of Finished Goods and WIP ·        Prepare calculation for AFTA manufacturing cost statement and submit to obtain approval from Customs Authorities. ·        Checking FOB price against cost statement before SCM print original Form D/E/AK ·        Verify cost saving declared by operation. ·        Advise on problems and suggest improvements. ·        Any other duties as and when assigned by immediate superior   ·        preparing periodic financial statements, including profit and loss accounts, budgets, forecast, cash flows, variance analysis and commentaries ·        Prepare, analyze and report weekly, monthly, quarterly gross margin analysis by product by customer type especially material consumption by production. ·        Assist in month-end closing, prepare journal entries as necessary, analyze inventory evaluation, inventory roll forward ·        Review and analyze inventory and margin reports, conduct research and perform analytical studies in regards to cost analyses and profitability ·        Plan, study and collect data to determine costs of business activities   ·        Analyze changes in product design, raw materials, manufacturing methods or services provided, to determine effects on costs ·        Analyze actual manufacturing costs and prepare periodic reports comparing standard costs to actual production costs   ·        Analyze actual P&L vs budgeted P&L and prepare EBITDA bridge ·        Make estimates of new and proposed product costs   ·        Provide management with reports specifying and comparing factors affecting prices and profitability of products or services ·        Maintain Cost Accounting System.   ·        Conduct monthly cycle count and prepare variance report   ·        Calculate material cost, inventory cost and prepare inventory reconciliation report ·        Prepare inventories valuation of Finished Goods and WIP ·        Prepare calculation for AFTA manufacturing cost statement and submit to obtain approval from Customs Authorities. ·        Verify cost saving declared by Manufacturing Department ·        Advise on problems and suggest improvements. ·        Any other duties as and when assigned by immediate superior   Job Specification        : ·        Degree in Accounting or equivalent ·        Minimum 5 years of Cost Accounting experience in manufacturing environment ·        Excellent knowledge of cost accounting and reporting especially in manufacturing industry ·        Excellent knowledge of risk analysis, budgeting and forecasting ·        Computer Literate – Strong Excel skills and the ability to use Outlook, Word, PowerPoint ·        Ability to accurately prepare daily, weekly, monthly, quarterly and annual reports  ",Accountant,35.0,5000.0,Monthly,6000.0,Professional
