company_location,company_name,date_expiry,date_posted,employment_type,job_description,job_requirements,job_title,num_apps,salary_lower,salary_type,salary_upper,seniority
,Company Undisclosed,22 Feb 2019,23 Jan 2019,"Permanent, Full Time","Roles & ResponsibilitiesAs one of the leading global technology company, we are creating game-changing platforms that impact industries, consumers and the environment. Behind the growth of our business is the constant pursuit of technological innovation to create data-driven and customized solutions that provide personalized experiences. The Chief Digital Innovation Officer shall lead and drive advances in technological capital, improve information processing and data analytics to facilitate the horizontal and vertical integration of the business.  Manage software development, embedded hardware and Infrastructure projects. Manage product development, develop communication systems and infrastructure. Generate specifications based on the business and customer needs Ensure code compliance and best practices and product delivery Product costing and budget, contract and risk management, corporate and regulatory compliance ","Requirements  More than 15 years experience with open source software development for IoT products and RF products   Development team management, networking and infrastructure, database development, GPS and GSM, IT compliance   Business continuity planning such as disaster planning and recovery  ",Chief Digital Innovation Officer,7.0,12000.0,Monthly,20000.0,Senior Management
,Company Undisclosed,22 Feb 2019,23 Jan 2019,Contract,"Roles & ResponsibilitiesWe are looking for a Senior Alteryx developer with minimum 7 years of experience  Summary *Working on  Receive Guarantee Module(RGM) - Initialization  focuses on Initialization(prerequisite setup) for rollout of RGM in APAC which will be golden source of received guarantees. *The main purpose is to consolidate of all data sources(oracle, sql server, flat files) into excel files.   Duties Ø   *Develop banking, analytic and reporting projects using Alteryx and other tools. Ø   *Effectively translate banking and technology issues into business requirements. Ø   *Ensure that sponsors, stakeholders and project teams are kept apprised of updates, issues, and opportunities for project improvement. Ø   *Integrate data through workflows that span across multiple Banking and offline systems as well as business processes. Ø   *Perform end user education and training.","RequirementsQualifications & Skills Ø     *Experience in the following disciplines is required:  Oracle, data warehousing architecture and data modeling. Ø     *5 years + of experience with the Alteryx Ø    *Strong verbal and written communication skills are required. Ø   * Must be able to communicate with business users in non-technical terms. Ø   *Analytical approach with a strong ability to uncover and resolve problems. Ø   *Ability to deliver innovative approaches and solutions.",Senior Alteryx Developer,0.0,6000.0,Monthly,7000.0,Non-Executive
,Company Undisclosed,22 Feb 2019,23 Jan 2019,"Permanent, Full Time","Roles & Responsibilities External Job Description Required. Responsibilities:< ul> Responsible for both product development and supporting high volume manufacturing of SSD. Support for SSD failure analysis from NPI to HVM stage. Perform manufacturing yield evaluation and data analysis. Perform detailed electrical and physical failure analysis and work with other departments to resolve SSD related issues. Troubleshooting failure from customer return and provide solutions to fix the problems.< /ul>< p> < p>Requirements:< ul> Bachelor or Masters degree in Electrical/Electronic Engineering or Computer engineering. Relevant experience in either SSD or HDD industry will be an advantage. Relevant experience with computer hardware, knowledge of storage interface such as SATA, SAS will be an advantage. Proficiency in programming languages such as C, C++, Python, Perl and etc.< /ul>< p> < p>Location: 990 Bendemeer Road, Singapore 339942< p>  Responsibilities:  Responsible for both product development and supporting high volume manufacturing of SSD. Support for SSD failure analysis from NPI to HVM stage. Perform manufacturing yield evaluation and data analysis. Perform detailed electrical and physical failure analysis and work with other departments to resolve SSD related issues. Troubleshooting failure from customer return and provide solutions to fix the problems.   ","RequirementsRequirements:  Bachelor or Masters degree in Electrical/Electronic Engineering or Computer engineering. Relevant experience in either SSD or HDD industry will be an advantage. Relevant experience with computer hardware, knowledge of storage interface such as SATA, SAS will be an advantage. Proficiency in programming languages such as C, C++, Python, Perl and etc.   ",Nve - Ssd Senior / Product Engineer,2.0,3400.0,Monthly,6800.0,Executive
,Company Undisclosed,22 Feb 2019,23 Jan 2019,Full Time,"Roles & ResponsibilitiesThe Manager/Senior Manager uses data analytics and determines new strategies to make production processes more efficient to meet organisation's goals. He/She establishes, implements and manages projects to meet operational objectives. He/She manages his/her team resources and balances between production requirement and manpower resources to ensure organisation's sustainability. He/She integrates quality principles and methodology to enhance engineering performance within the organisation.In addition the Manager/Senior Manager evaluates the organisation’s approach towards a lean enterprise and uses data analytics for business insights identification. He/She drives innovation practices in the organisation and review manufacturing processes to reduce working capital and optimize inventory levels.As a people manager, the Manager oversees manpower, financial, training and resource planning deployment within the organisation. He displays a high level of organisational awareness and leadership skills by working in a consultative manner with other departments/sections within the organisation.","Requirements ~ Analyse data for business insights identification. ~ Analyse production efficiencies. ~ Conduct interviews and make hiring decisions. ~ Determine priorities dynamically and set planning assumptions for work in progress levels by product, cycle time and yield. ~ Develop On-the-job training programme. ~ Develop workplace learning plan. ~ Evaluate organisations approach towards a lean enterprise. ~ Evaluate the sustainability of manufacturing process by preparing rough cut capacity plans. ~ Evaluate workplace safety and health management system for compliance and improvement. ~ Improve operation planning through use of big data and advanced analytics modelling. ~ Integrate quality principles and methodology to enhance engineering performance. ~ Lead change management in the organisation. ~ Manage balance between production requirement and manpower resources. ~ Manage innovation practises in organisation. ~ Manage manufacturing key metrics including loading, performance to commitments, on time delivery and bottlenecks. ~ Manage material requirements planning taking into account the sales forecast, production plan and production capacity. ~ Resolve workplace grievances and disputes. ~ Review manufacturing processes to reduce working capital and optimise inventory levels.",Senior Manager,3.0,5000.0,Monthly,7000.0,Senior Management
,Company Undisclosed,22 Feb 2019,23 Jan 2019,Full Time,"Roles & ResponsibilitiesThe Manager/Senior Manager uses data analytics and determines new strategies to make production processes more efficient to meet organisation's goals. He/She establishes, implements and manages projects to meet operational objectives. He/She manages his/her team resources and balances between production requirement and manpower resources to ensure organisation's sustainability. He/She integrates quality principles and methodology to enhance engineering performance within the organisation.In addition the Manager/Senior Manager evaluates the organisation’s approach towards a lean enterprise and uses data analytics for business insights identification. He/She drives innovation practices in the organisation and review manufacturing processes to reduce working capital and optimize inventory levels.As a people manager, the Manager oversees manpower, financial, training and resource planning deployment within the organisation. He displays a high level of organisational awareness and leadership skills by working in a consultative manner with other departments/sections within the organisation.","Requirements ~ Analyse data for business insights identification. ~ Analyse production efficiencies. ~ Conduct interviews and make hiring decisions. ~ Determine priorities dynamically and set planning assumptions for work in progress levels by product, cycle time and yield. ~ Develop On-the-job training programme. ~ Develop workplace learning plan. ~ Evaluate organisations approach towards a lean enterprise. ~ Evaluate the sustainability of manufacturing process by preparing rough cut capacity plans. ~ Evaluate workplace safety and health management system for compliance and improvement. ~ Improve operation planning through use of big data and advanced analytics modelling. ~ Integrate quality principles and methodology to enhance engineering performance. ~ Lead change management in the organisation. ~ Manage balance between production requirement and manpower resources. ~ Manage innovation practises in organisation. ~ Manage manufacturing key metrics including loading, performance to commitments, on time delivery and bottlenecks. ~ Manage material requirements planning taking into account the sales forecast, production plan and production capacity. ~ Resolve workplace grievances and disputes. ~ Review manufacturing processes to reduce working capital and optimise inventory levels.",Manager,7.0,5000.0,Monthly,7000.0,Manager
"Vision Exchange, 2 Venture Drive 608526",Company Undisclosed,22 Feb 2019,23 Jan 2019,Full Time,"Roles & Responsibilities ·Prepare weekly / monthly project cost report, monitoring of the deliverable / daily tasks and register all consumptions and related issues relating to the project promptly including tracking of key performance indicators. Submit Management Cost Summaries Project Ensure all costs data is validated before submission of internal & external reports Ensure that project expenditures are kept within the project budget by providing project report to the project team for review timely. Coordinate and work with the Project Manager to resolve project issues and ensure completion of the project. Participate in project meetings and discussions with the project team Leading and planning the monthly estimate at completion process Provide cost control planning advice to the team as and when required In charge of other ad-hoc duties such as input or update budget information, expenditure information, and forecasts into the cost reporting system(s) Provide input and review items that may arise from the change management system/ variance management system Responsible to control and monitor project total expenditure including verifying and checking of invoices and claims from suppliers, vendors and subcontractors to ensure that all project expenditures are captured and properly recorded. Approval and Reconciliation of Supplier Invoices Maintain client / customer cost reporting requirements, in conjunction with the Project Manager, ensuring that the data produced complies with company internal policies & procedures Track & report on all financial aspects Work independently with a structured and targeted approach to all work tasks Continuous focus on process and reporting improvements Recording of hours and costs in the Work Breakdown Structure Ensure accurate, timely and professional completion and management of project costs ","Requirements Bachelors’ Degree in Accounting,  Finance, Engineering related Field Handling project from the pharmaceutical, medical device, cosmetics experience preferred Commercial and financial acumen Minimum of 5 years in relevant field Proficient in Microsoft Excel and other budgeting applications ",Cost Controller,4.0,4000.0,Monthly,6000.0,Executive
"Northstar @ Amk, 7030 Ang Mo Kio Avenue 5 569880",Company Undisclosed,22 Feb 2019,23 Jan 2019,Full Time,"Roles & ResponsibilitiesOur client is one of the best known, globally established producer of edible oils & fats   To support their fast track growth in the global renewable energy sector, they are urgently looking for the following professional to be part of their team as:             Senior Marketing Executive - Biodiesel Responsibilities: -           Identify new markets through intensive research -          Conduct market survey, data collection, compilation on market trends -          Conduct analysis and price forecasts -          Futures market & International trade with both sourcing of commodities from global markets and with the domestic market -          Develop relationships with key suppliers, customers, agents -          Work independently in an aggressive results-driven business environment    ",RequirementsRequirements: -          Bachelor's degree in Business or equivalent.            -          At least 5 years in a similar role marketing executive -          Experience in futures market and international trade -          Excellent interpersonal & communication skills,Senior Marketing Executive,5.0,4000.0,Monthly,5000.0,Senior Executive
,Company Undisclosed,22 Feb 2019,23 Jan 2019,"Full Time, Flexi Work","Roles & ResponsibilitiesWe are seeking a junior accountant who has experience in management accounting and financial accounting. He/She ensures that the organisation's finance function is well organised as well as producing timely and accurate financial statements and management accounts, thus achieving compliance with corporate policies and statutory requirements. He/She analyses data and understands the financial performance and position of the organisation in order to develop suitable accounting policies to meet reporting requirements and to produce any special reports required by the management team.  He/She may also work with the FM or the leadership team to help define the organisation's overall finance strategy. This position requires the candidate to work in client's office 4 days per week and 1 day working from home (with incidental travel required).","Requirements Prepare accurate and timely financial statements. Calculate taxable income and the income tax liabilities of the organisation. Compile accurate tax-related information for the organisation. Compute the valuation of business and financial assets using different models. Extract data and provide analysis for management using relevant accounting information systems or software. Maintain accurate journal entries and allocations. Manage accounts payable and receivables to help the organisation determine working capital needs and funding strategies. Operate accounting information systems efficiently and effectively. Participate in budgeting and forecasting activities. Plan and coordinate the annual financial audit process. Prepare asset, liability, and capital account entries by compiling and analysing account information. Prepare financial statements and disclosure notes. Provide accurate and timely tax and financial reports to the relevant authorities. Reconcile accounts and provide analysis for the organisations financial transactions. Prepare monthly payroll Liaise with external auditors on audit data, variances and audit findings. Must have Xero and Quickbooks experience. Fresh graduate are welcome to apply. Most important of all, must have a strong relationship management and go-getter attitude.  If you are interested, please send your CV to hr@walt-solutions.com.    ",Accountant,11.0,2500.0,Monthly,4000.0,Professional
33 Kaki Bukit Road 6 415808,Company Undisclosed,22 Feb 2019,23 Jan 2019,Full Time,Roles & Responsibilities• Full spectrum of HR function • Accurate and timely payment of workers' payroll and withholding taxes to government authorities • Not limited to issuance of IPA for workers and other related application • Conflict resolution with construction workers • Liaise with agents for new workers and security bond • Maintaining of employees data in payroll system for remuneration and benefits purpose • Respond to employees’ queries/ grievences • Ad hoc activities as and when required,"Requirements • Candidate must possess at least a Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree, any field. • Good knowledge in times soft and excel • Minimum 3 years of experience in construction industry • Familiar in construction industry, local labor legislation & practices • Able to work under pressure • Meticulous with an eye for details and accuracy • Positive attitude and good team player • Familiar with Timesoft software • Contributes to team effort by accomplishing related results as needed. • Preferably Senior Executives specializing in Human Resource • Full-Time position(s) available.  Applicants who are interested in this role are invited to apply with their comprehensive resume with full details and recent photograph  via the ""Apply Now"" option.",Senior Hr Executive /  Hr Executive,13.0,,,,"Executive, Senior Executive"
63 Chulia Street 049514,Company Undisclosed,06 Feb 2019,23 Jan 2019,Permanent,"Roles & ResponsibilitiesThe Development Technical Lead provides software development leadership and management of the development effort within core banking and back-office focused technology projects as part of the bank’s wider program of transformation initiatives. The position entails designing and driving the implementation of development best practices, while playing a crucial role in spearheading technical analysis, design, development and system integration testing around our application (e.g. T24, ODP etc) as well as related sub-systems covering trade processing, trade documentation, settlement and accounting. Roles and Responsibilities:  Responsible for the development planning and delivery of system integration and technology development book of work for Core Banking / Back Office / Business Process Management applications. Work with project manager, Business Analyst and test managers to ensure efficiency of system integration test cycles and propose improvements required if defects are found. In addition to unit testing code, this includes supporting all testing cycles (System Integration Testing, User Acceptance Testing) ensuring all deliverables are aligned with technology development governance. Work with Technology Infrastructure and Technology Application teams to ensure through adequate system design and testing that Technology operations risks can be minimized and that application data is appropriately structured, controlled and utilized within the business. Provide technical support and expertise advice throughout all technical stages of projects, Change Request and third level support. Identify, define and coordinate development activities within a project or Change request, such as additional specific functionality, interfacing to external systems or conversion programs to be built. Provide guidance, training and advice to less experienced team members. ","Requirements Degree in an IT related discipline Financial technology background experience (Wealth Management, Investment Management, Asset Management, Investment Banking preferred) with strong development experience including past software development role as well as previous experience in the integration of vendor solutions 8 years hands-on experience in a T24 production support and / or environment as a technical consultant or lead role. Solid experience in T24 design and development. In-depth knowledge of customization of T24 environments. Thorough understanding of T24 application and all system administration tasks involved in maintaining a T24 environment. This should include knowledge of OFS batch routines and jBase administration, some technical exposure to TCS/TCC Connectors, TOCF, OFS and OFXML messages, data extraction, integration, T24 Tables, upgrading and installing new releases and patch installations. Ability to introduce inexperienced Temenos developers to customization and guide them in daily development. Excellent oral and written communication in English ",Technical Leader,6.0,12000.0,Monthly,18000.0,"Professional, Executive"
