company_location,company_name,date_expiry,date_posted,employment_type,job_description,job_requirements,job_title,num_apps,salary_lower,salary_type,salary_upper,seniority
"One Raffles Place, 1 Raffles Place 048616",Spencer Ogden Pte. Ltd.,02 Feb 2019,03 Jan 2019,Full Time,"Roles & ResponsibilitiesOverview To provide efficient and effective administrative support for the HR Manager - APAC ensuring Spencer Ogden employees are provided with key information on HR processes and procedures and the efficient processing of employment contracts. The Role  Responsible for the processing of new appointments and changes to existing employment contracts using established templates and proformas, including issuing of offers of employment Ensures APAC staff are equipped with the Right-to-Work/appropriate Visas and Visa renewals where required Accountable for the new starter process internally ensuring all new starters are prepared for their first day at Spencer Ogden (training prepared, system set-up, desk etc) in conjunction with HR Manager Providing advice to employees and managers on general HR queries relating to terms and conditions of employment e.g. annual leave; notice periods; sick leave etc Ensuring that effective records are kept with regards to personnel files and other HR documentation. Inputting correctly and ensuring data on all employees is effectively maintained by the use of the HR database Developing and maintaining effective liaison with Finance to ensure they have up to date information including monthly payroll variation reports. Ensuring key milestones are met and documented for individuals (probation meetings, performance management reviews) making appointments, arranging meetings for managers and directors Maintaining regional organisational charts liaising with Managers and Directors Involved in the admin of performance management and disciplinary process offering support to the business where needed in conjunction with HR Manager Accountable for leavers process with regards to HR, ensuring staff have received relevant documents and relevant individuals internally are made aware Responsible for the tracking and delivery of engagement surveys across the region Responsible for Recruiter Industry registrations such as MOM EA listings online Health and Safety: ensures all staff across APAC have listed an emergency contact and declared medical issues Ensures staff and registered/deregistered for health insurance ",RequirementsDesired Profile  Excellent communication skills both verbally and in writing At least 2 years experience of working within a HR admin related role Ability to think proactively and possess great organisational skills   ,Hr Administrator - Apac,24.0,3000.0,Monthly,4000.0,Junior Executive
1 Woodleigh Lane 357684,Stamford American International School Pte. Ltd.,02 Feb 2019,03 Jan 2019,"Contract, Full Time","Roles & ResponsibilitiesPosition Objective To meet the school’s vision through the objectives of the MYP program. To engage students from over 70 national and linguistic backgrounds in the AERO (American Education Reaches Out) standards. Responsibilities The job holder’s responsibility for promoting and safeguarding the welfare of children and young person’s for whom s/he is responsible, or with whom s/he comes into contact will be to adhered to and ensure compliance with the relevant Cognita Safeguarding; Child Protection Policy and Procedures at all times. If in the course of carrying out the duties of the role, the job holder identifies any instance that a child is suffering or likely to suffer significant harm either at school or at home, s/he must report any concerns to the School’s Designated Safeguarding Lead or to the Head or indeed to the Cognita Regional Safeguarding Manager so that a referral can be made accordingly to the relevant third party services. Teaching:  To teach Middle School Individuals & Societies (I&S) classes (Grades 6-8) To possibly teach 1 contained EAL class (within the I&S subject area) To possibly work with students who are on a learning accommodation plan and/or require an additional support teacher in class To work with and differentiate for EAL mainstream students To have a knowledge of and demonstrate the MYP concepts, contexts, and inquiry-based learning that is balanced with specific skills of ‘how to learn’ (ATLs) – leading learning towards the IB vision and the aims of Individuals & Societies To use and refer to the AERO standards in the curriculum and in teaching and learning To actively plan and collaborate with specialist teachers (Librarian, Ed. Tech. Coach, EAL and Student Support teachers) to enrich curriculum and student learning To differentiate and target learning to students’ needs and aptitude levels To be culturally and linguistically responsive and proactive To use a variety of feedback methods to help inform students on how to improve their learning  Relationships:  To develop trusting and effective relationships with all students and parents of your classes To establish supportive, collaborative, and positive working relationships with all staff members To work in a collegial and professional manner with peers that demonstrates respect, being prepared and on time, and adhering to the school wide meeting norms and team essential agreements To become a positive presence across the whole school and a representative of it within its wider community  Educational role:  To develop and execute the preparation, planning and delivery of child-centered learning activities To be a pastoral advisor to a group of students, being responsible for the holistic academic and social-emotional well-being of these students To build pedagogical practices around understanding the EAL learner, the importance of differentiation, and the essential aspects of peer observation and feedback To establish effective home/school communication To participate fully in appropriate training in the various programs and initiatives at Stamford To demonstrate a willingness to analyze data such as MAP scores that inform teaching and learning To utilize the MYP “Approaches to Learning” (ATLs) expectations per the International Baccalaureate To develop a practice that accommodates a range of ability levels and learning styles  Extended professional role:  To understand and implement the expectations and policies established by Cognita and Stamford. To participate in professional duties as necessary outside of the scope of the school day (E.G. Field Studies trips, professional development on weekends as needed, and after school meetings as required) To supervise duties at break/lunch and/or other unstructured times To lead/coach an after school CCA (co-curricular activity) from 3:45-4:30pm once a week To abide by the child safeguarding expectations of the school To assist in internal sub coverage according to department needs To provide any other reasonable duties delegated by the School Management Team  Parents:  To coordinate parent meetings (organize translations if need be) and review student progress To coordinate efforts of parents to assist with classroom volunteering duties or on excursions   ","RequirementsPosition Requirements  At least 3-5 years of experience in working with children as a grade teacher with relevant qualifications MYP/IB experience preferred Curriculum development knowledge is required  Advisory/Pastoral experience preferred Possess highly developed interpersonal and teamwork skill Excellent verbal and written English skills Good references on request Proficiency in using school databases, communications platforms, and educational technology Demonstrates the Stamford Values – Courage, Ingenuity, Compassion, Integrity  Qualifications  Minimum Bachelor’s degree in Education or equivalent is required Professional current teacher licensure or certification is required Master’s degree in relevant field preferred ",Teacher (Humanities),8.0,4900.0,Monthly,9900.0,Professional
"International Plaza, 10 Anson Road 079903",Scs Global Pac,02 Feb 2019,03 Jan 2019,"Permanent, Full Time","Roles & ResponsibilitiesThe Accounts Executive/Accounts Assistant reports to the Accountant to support the finance department in carrying out the responsibilities of the accounting department. He/She covers duties such as work that is specific to accounts receivable, accounts payable, tax filing, data compilation, billing, payroll or other accounting tasks. He/She works specifically with accruals, fixed assets accounting or the monthly and yearly finalisation of accounts for audit purposes. He/She assists with the preparation of trial balance, basic financial statements and simple consolidated financial statements. He/She may be called on to handle some admin duties eg. mail (in and out-going mail) and other admin support duties.",Requirements-- Must be familiar with MYOB system ~ Prepare invoices and make payments to suppliers monthly ~ Enter accurate and timely data into the accounting system. ~ Maintain accurate financial records and statements. ~ Perform month-end closing activities. ~ Retrieve system reports from the accounting system for managements use. -- Must have at least 2 years of relevant working experience  ,Accounts / Admin Executive,17.0,2500.0,Monthly,3000.0,Executive
1 Woodleigh Lane 357684,Stamford American International School Pte. Ltd.,02 Feb 2019,03 Jan 2019,"Permanent, Full Time","Roles & ResponsibilitiesPosition Objectives  To provide medical support for all activities conducted at the School. To ensure a safe and healthy environment for all students, teachers, staff and visitors to the premises through attendance to school safety concerns, allergy and disease control, medical records and maintenance, first aid and emergency procedures  Responsibilities The job holder’s responsibility for promoting and safeguarding the welfare of children and young person’s for whom s/he is responsible, or with whom s/he comes into contact will be to adhered to and ensure compliance with the relevant Cognita Safeguarding; Child Protection Policy and Procedures at all times. If in the course of carrying out the duties of the role, the job holder identifies any instance that a child is suffering or likely to suffer significant harm either at school or at home, s/he must report any concerns to the School’s Designated Safeguarding Lead or to the Head or indeed to the Cognita Regional Safeguarding Manager so that a referral can be made accordingly to the relevant third party services. Nursing  Provide a service of Health & First Aid (H&FA) in an educational institution in an international environment Maintain standards of best practice in the delivery of H&FA Maintain all H&FA areas as safe and functional including restocking First Aid kits for on and off-site needs Maintain a confidential environment Assess and treat all illness and accidents Refer to outside medical services as warranted Provide first-line counselling Identify and refer ‘Students at risk’ to the Health Services Manager Safely secure and administer medications Assess students with special health needs and be aware of those at risk of requiring emergency care Act as a resource person to all staff members, students and parents. Assist and deliver health promotion and health education to staff, students or parent. Actively promote Healthy Lifestyles issues. Assist with student accountability by notifying teachers of students needing sick leave.  Administration  Contribute to an effective data base and communication between H&FA areas and nurses Keep detailed records of service by monitoring student visits Maintain professional development including First Aid and CPR skills Maintain security of records and equipment Assist the Health Services Manager in the monitoring of illnesses, incidences and accidents; and assess and report hazards to the Health and Safety Manager Asia ","RequirementsPosition Requirements  Working experience as Registered Nurse Paediatric in school environment is preferred Excellent communication skills in English (written & spoken) Ability to deliver high quality, timely nursing care to all individuals on campus Maintaining confidentially  Demonstrates the Stamford Values – Courage, Ingenuity, Compassion, Integrity  Qualifications  Minimum Bachelor’s Degree in Nursing Registered Nurse with Singapore Nursing Board ",School Nurse,13.0,2000.0,Monthly,5000.0,Professional
"Airline House, 25 Airline Road 819829",Cargo Community Network Pte Ltd,02 Feb 2019,03 Jan 2019,"Permanent, Full Time","Roles & ResponsibilitiesJob Scope This successful candidate will join a team of Software Analysts and Architects primarily responsible for developing software solutions and ensuring compliance to the Application / Data Architecture standards. He / She will:   ·         Work with Business Analyst to review and understand business requirements ·         Translate business requirements to software solutions including conceptual design, design pattern, and integration           strategies. ·         Provide clarifications to technical leads to implement the software solutions ·        Collabrate with development team to troubleshoot issues in application ·         Evaluate new technology required in the software solutions ·         Identify and escalate conflicts relating to software governance for action ·         Participate in the evaluation of technological direction ·         Provide techology sharing / training on software technology   Successful candidate must be highly independent, proactive, and a team player with effective communication and interpersonal skills. He / She must be  technology savvy, with the ability to extract complex business requirements and translate them into viable software solutions.","RequirementsTechnical Requirements:  Bachelor’s degree in Computer Science, Software Engineering or related field 4 to 6 years of hands-on experience in software development using Microsoft development platform:  a)    ASP.NET, and C#.NET 4.0 and above b)    MVC, EF, WCF, WebAPI, c)     MS SQL Server 2012 or above ·         Strong interest in architecting applications   Added advantage: ·         Familiar with IT Architecture principles and framework ·         Experience in designing or implementing technical solutions for the Logistics Industry ·         Experience in OO design pattern & development ·         Knowledge on Javascript/Typescript, Angular2 and above ·         Knowledge in cloud implementation ·         Agile development   Interested candidates are to send in their detailed resume, including current and expected salary, to hr@ccn.com.sg.",Software Analyst,7.0,3500.0,Monthly,4500.0,Fresh/Entry Level
1 Woodleigh Lane 357684,Stamford American International School Pte. Ltd.,02 Feb 2019,03 Jan 2019,"Contract, Full Time","Roles & ResponsibilitiesPosition Objective The role of the Early Years Teacher (PreNursery – KG1) is essentially to build and maintain a successful Early Years program within the school by providing an educational atmosphere conductive to learning and developing through the process of inquiry and in conjunction with the International Baccalaureate PYP and MYP programs. Responsibilities The job holder’s responsibility for promoting and safeguarding the welfare of children and young person’s for whom s/he is responsible, or with whom s/he comes into contact will be to adhered to and ensure compliance with the relevant Cognita Safeguarding; Child Protection Policy and Procedures at all times. If in the course of carrying out the duties of the role, the job holder identifies any instance that a child is suffering or likely to suffer significant harm either at school or at home, s/he must report any concerns to the School’s Designated Safeguarding Lead or to the Head or indeed to the Cognita Regional Safeguarding Manager so that a referral can be made accordingly to the relevant third party services. Relationships:  Developing trusting and effective relationships with the all the children in the class and their parents Establishing supportive and positive working relationships with all other members of staff Becoming a presence across the whole school and a representative of it within its wider community    Educational role:  Developing and executing the preparation, planning and delivery of child-centered learning activities for the children in the class Being a facilitator in the classroom and taking an interactive role with students Using a range and balance of teaching strategies Grouping strategies using a variety of different learning situations, including whole class, small group, partner work and individual work; at desks, on the floor, etc.  Viewing students as thinkers with their own emerging theories Building on what students know, and differentiating to meet student needs Making and recording observations about student individual learning progress including recording this progress on Teaching Strategies Gold Software and in Student Portfolios Ensuring that the classroom environment is well-managed, properly ordered and neatly presented Planning to ensure that ‘students achieve more than they think they can’, by collecting and using data such as MAP scores, and other formative and summative assessments Planning in PreK and KG1 which emphasizes connections among curriculum areas and explicitly focuses on trans-disciplinary skills and the essential elements of PYP Ensuring planning incorporates STEAMInn (Science Technology Arts Maths Innovation) across the planned units of work from PreN through to KG1 Planning in PreNursery and Nursery which emphasizes has a balance of learning engagements as planned from Head Start Learning outcomes (Birth to Age 5) while drawing largely from the USA Creative Curriculum material Reporting quarterly on student progress Planning which accommodates a range of ability levels and learning styles; teachers are expected to modify and accommodate for students as needed, i.e. accommodating individual language needs (EAL), student support services, students who are struggling as well as students who need more of a challenge Planning in a collegial and professional manner with peers, showing respect, being prepared and on time, and adhering to the school wide meeting norms and team’s essential agreements at all times Involving students, parents and colleagues in the assessment process on a regular basis and as appropriate Involving students in shared reflection during, and at the end of, each unit, on a consistent basis Evaluating the program collaboratively with teaching partners, and parents and students as appropriate, using agreed flexible systems  Extended professional role: Contributing towards the whole-school team spirit by taking every opportunity to promote the philosophy and policies of the Stamford American International School  Taking responsibility for the class during times of emergency Supervising the children at break/lunch and other unstructured times Ensuring that the children are safe and secure at all times Communicating regularly and positively with parents via timely meetings, class webs, reports and conferences  Parents:  Coordinating parent meetings where appropriate to review a students’ progress Coordinating efforts of parents to assist with class room volunteering duties or on excursion  General:  To teach any classes as deemed necessary To provide any other reasonable duties delegated by the School Management ","RequirementsPosition Requirements  At least 3 years of experience in working with children as an Early Years teacher with relevant qualifications Curriculum development knowledge is required  Possess highly developed interpersonal and teamwork skill. Excellent verbal and written English skills Good references on request Proficient in using computers Demonstrates the Stamford Values – Courage, Ingenuity, Compassion, Integrity  Qualifications  Minimum Bachelor’s degree in Education or equivalent is required Current teacher certification / registration Master’s degree in Education preferred ",Teacher (Early Years),32.0,4900.0,Monthly,9900.0,Professional
"18 Tai Seng, 18 Tai Seng Street 539775",Sivantos Pte. Ltd.,02 Feb 2019,03 Jan 2019,"Contract, Internship","Roles & ResponsibilitiesSivantos Group seeks a Software Intern (m/f) to join our R&D software team. As a Software intern, you will be working closely with our Senior Engineer to create web service for production test reports. You will get to work with the rest of the team in understanding the entire software development life cycle and gain more insights. You will specifically be responsible for:  Implement the web service for IIS Use Active Directory for user authentication and authorization Implement a UI for searching and a UI for displaying a test report Implement export to PDF functionality including report template Test results include curve data, which will be used to plot the curve on web browser and PDF report Design, implement, test and document (full SDLC) ","Requirements Bachelor or Post Graduate Degree in Software Engineering or any relevant certifications Academic project experiences working with C# will be advantageous Displays good understanding and knowledge in C#/.NET technologies Knowledge of web service, LDAP and SQL will be advantageous  Demonstrates strong communication and coordination skills Able to work independently    We regret only shortlisted candidates will be notified. Thank you.",Software Intern (Web Services),3.0,1000.0,Monthly,3000.0,"Fresh/Entry Level, Non-Executive"
1 Woodleigh Lane 357684,Stamford American International School Pte. Ltd.,02 Feb 2019,03 Jan 2019,"Contract, Full Time","Roles & ResponsibilitiesPosition Objective To collaboratively plan, organize and implement an appropriate learning program in the context of an IBO World School serving a dynamic and diverse community.   Responsibilities The job holder’s responsibility for promoting and safeguarding the welfare of children and young person’s for whom s/he is responsible, or with whom s/he comes into contact will be to adhered to and ensure compliance with the relevant Cognita Safeguarding; Child Protection Policy and Procedures at all times. If in the course of carrying out the duties of the role, the job holder identifies any instance that a child is suffering or likely to suffer significant harm either at school or at home, s/he must report any concerns to the School’s Designated Safeguarding Lead or to the Head or indeed to the Cognita Regional Safeguarding Manager so that a referral can be made accordingly to the relevant third party services.   Teaching:  To teach classes within the High School; To work with students who are on a learning accommodation plan and/or require an additional support teacher in class; To work with EAL mainstream students; To demonstrate through collaboration, planning, and teaching, the IBO framework of concepts within contexts, and inquiry-based learning that is balanced with specific skills of ‘how to learn’, leading learning towards the IB vision and the aims of individual subject areas; To use and refer to the defined standards in the curriculum and in teaching and learning; To work and collaborate with colleagues to enrich curriculum and student learning; To differentiate and target learning to students’ needs and proficiency levels; and To be culturally and linguistically responsive and proactive.    Relationships:  To develop trusting and effective relationships with the all the students in the classes and their parents To establish supportive, collaborative, and positive working relationships with all other members of staff To become a positive presence across the whole school and a representative of it within its wider community    Educational role:  Developing and executing the preparation, planning and delivery of child-centered learning activities in accordance with the school vision; Acting as a pastoral advisor, being responsible for the holistic academic and social-emotional well-being of these students, and in the case of grades 11 and 12, acting in a formal CAS Advisor capacity; Building on what students know, and differentiating to meet student needs; Ensuring that the classroom environment is well-managed, properly ordered and neatly presented; A willingness to analyze data such as MAP scores, and other formative and summative assessments; Planning which emphasizes connections among curriculum areas and explicitly focuses on trans-disciplinary skills and the essential elements of MYP, DP and/or AP programs as needed; Planning which accommodates a range of ability levels and learning styles; teachers are expected to modify and accommodate for students as needed, i.e. accommodating individual language needs (EAL), student support services, students who are struggling as well as students who need more of a challenge; Planning in a collegial and professional manner with peers, showing respect, being prepared and on time, and adhering to the school wide meeting norms and team’s essential agreements at all times; Communicating professionally with students and families; Planning collaboratively for student learning; Planning which is based on agreed student learning outcomes (KUDL’s), in the context of the school-wide program; Planning work that builds on students' prior knowledge and experience; Planning significant units of inquiry, to be explored in depth; Implementing accurate assessment through the collaborative pre-planning and moderation processes; Planning work which emphasizes connections between and among curriculum areas; Planning work which accommodates a range of ability levels; Building on what students bring to the learning experience in the way of prior understanding; Ensuring a well-organized and stimulating learning environment; Empowering students to feel responsible and to take action; Maintaining constant awareness of the needs of any children to whom English is a second or even a third or fourth language; Undergoing required online professional development courses to enhance understanding of the institution and skills needed to address the needs of all of our students; Using learning technologies to enhance learning; Supporting other aspects of the IBO programs (ex: Supervise Extended Essays and/or Personal Projects) as directed; Being aware of students’ capabilities, their prior knowledge and planning teaching and differentiation as appropriate; Demonstrating an understanding of and taking responsibility for promoting high standards of literacy; Providing clear and constructive feedback to students and their parents and caregivers; and Ensuring the documentation of curricula units and other planning on the platform and within the timelines set forth by the administration.  Extended professional role:  Understanding and implementing the expectations and policies established by Cognita and Stamford including it’s Guiding Statements; Participating in professional duties as necessary outside of the scope of the school day (E.G. Field Studies trips, professional development on weekends as needed, and after school meetings as required); Supervising duties at break/lunch and/or other unstructured times; Leading/coaching an after school CCA (co-curricular activity) from 3:45-4:30pm once a week; Ensuring that students are safe and secure at all times, and abiding by the child safeguarding expectations of the school; Assisting in internal sub coverage according to department needs; and Providing any other reasonable duties delegated by the School Management Team. ","RequirementsPosition Requirements  Ability to teach HL and SL Design Technology (in the Diploma Program) and Design (in the Middle Years Program). At least 3-5 years of teaching experience in a K-12 school. At least 3 years of teaching in the MYP/DP. International School teaching experience preferred. Curriculum development knowledge is required.  Advisory/Pastoral experience preferred Highly developed interpersonal and teamwork skill. Excellent verbal and written English skills. Good references on request. Proficiency in using school databases, communications platforms, and educational technology. Demonstrates the Stamford Values – Courage, Ingenuity, Compassion, Integrity    Qualifications  Minimum Bachelor’s degree in Education or equivalent is required. Professional current teacher licensure or certification is required. Master’s degree in relevant field preferred.       ",Teacher (Design),2.0,4900.0,Monthly,9900.0,Professional
1 Woodleigh Lane 357684,Stamford American International School Pte. Ltd.,02 Feb 2019,03 Jan 2019,"Contract, Full Time","Roles & ResponsibilitiesPosition Objective To meet the school’s vision through the objectives of the IB MYP/DP and the American A.P. programs. To engage students from over 70 national and linguistic backgrounds in the AERO (American Education Reaches Out) standards. To participate fully in the expectations of the Stamford learning community that includes 1x duty per day, 1x co-curricular activity per week and 1x ‘advisory’ period per day.   Responsibilities The job holder’s responsibility for promoting and safeguarding the welfare of children and young person’s for whom s/he is responsible, or with whom s/he comes into contact will be to adhered to and ensure compliance with the relevant Cognita Safeguarding; Child Protection Policy and Procedures at all times. If in the course of carrying out the duties of the role, the job holder identifies any instance that a child is suffering or likely to suffer significant harm either at school or at home, s/he must report any concerns to the School’s Designated Safeguarding Lead or to the Head or indeed to the Cognita Regional Safeguarding Manager so that a referral can be made accordingly to the relevant third party services.   Teaching:  To teach classes within the High School To work with students who are on a learning accommodation plan and/or require an additional support teacher in class To work with EAL mainstream students To demonstrate through collaboration, planning, and teaching, the IBO framework of concepts within contexts, and inquiry-based learning that is balanced with specific skills of ‘how to learn’, leading learning towards the IB vision and the aims of individual subject areas To use and refer to the defined standards in the curriculum and in teaching and learning To work and collaborate with colleagues to enrich curriculum and student learning To differentiate and target learning to students’ needs and proficiency levels To be culturally and linguistically responsive and proactive    Relationships:  To develop trusting and effective positive relationships with the all the students in the classes and their parents To establish supportive, collaborative, and positive working relationships with all other members of staff To become a positive presence across the whole school and a representative of it within its wider community Having a sense of humour.    Educational role:  Developing and executing the preparation, planning and delivery of child-centered learning activities in accordance with the school vision. Acting as a pastoral advisor, being responsible for the holistic academic and social-emotional well-being of these students, and in the case of grades 11 and 12, acting in a formal CAS Advisor capacity. Building on what students know, and differentiating to meet student needs Ensuring that the classroom environment is well-managed, properly ordered and neatly presented A willingness to analyze data such as MAP scores, and other formative and summative assessments Planning which emphasizes connections among curriculum areas and explicitly focuses on trans-disciplinary skills and the essential elements of MYP, DP and/or AP programs as needed Planning which accommodates a range of ability levels and learning styles; teachers are expected to modify and accommodate for students as needed, i.e. accommodating individual language needs (EAL), student support services, students who are struggling as well as students who need more of a challenge Planning in a collegial and professional manner with peers, showing respect, being prepared and on time, and adhering to the school wide meeting norms and team’s essential agreements at all times Communicating professionally with students and families. Planning collaboratively for student learning Planning which is based on agreed student learning outcomes, in the context of the school-wide program. Planning work that builds on students' prior knowledge and experience. Planning significant units of inquiry, to be explored in depth. Implementing accurate assessment through the collaborative pre-planning and moderation processes. Planning work which emphasizes connections between and among curriculum areas Planning work which accommodates a range of ability levels Building on what students bring to the learning experience in the way of prior understanding. Ensuring a well-organized and stimulating learning environment Empowering students to feel responsible and to take action. Maintaining constant awareness of the needs of any children to whom English is a second or even a third or fourth language Using learning technologies to enhance learning. Supporting other aspects of the IBO programs (ex: Supervise Extended Essays and/or Personal Projects) as directed Being aware of students’ capabilities, their prior knowledge and planning teaching and differentiation as appropriate. Demonstrating an understanding of and taking responsibility for promoting high standards of literacy Providing clear and constructive feedback to students and their parents and caregivers Ensuring the documentation of curricula units and other planning on the platform and within the timelines set forth by the administration  Extended professional role:  Understanding and implementing the expectations and policies established by Cognita and Stamford. Participating in professional duties as necessary outside of the scope of the school day (E.G. Field Studies trips, professional development on weekends as needed, and after school meetings as required) Supervising duties at break/lunch and/or other unstructured times Leading/coaching an after school CCA (co-curricular activity) from 3:45-4:30pm once a week Ensuring that students are safe and secure at all times, and abiding by the child safeguarding expectations of the school Assisting in internal sub coverage according to department needs Providing any other reasonable duties delegated by the School Management Team   ","RequirementsPosition Requirements  Ability to teach HL and SL Mathematics (in the Diploma Program), AP Mathematics and Integrated Mathematics (in the Middle Years Program). At least 3-5 years of teaching experience in a K-12 school At least 3 years of MYP/DP experience preferred International School teaching experience preferred Curriculum development knowledge is required  Advisory/Pastoral experience preferred Highly developed interpersonal and teamwork skill Excellent verbal and written English skills Good references on request Proficiency in using school databases, communications platforms, and educational technology Demonstrates the Stamford Values – Courage, Ingenuity, Compassion, Integrity    Qualifications  Minimum Bachelor’s degree in Education or equivalent is required Professional current teacher licensure or certification is required Master’s degree in relevant field preferred ",Teacher (Math),9.0,4900.0,Monthly,9900.0,Professional
"Harbour Link Complex, 61 Alexandra Terrace 119936",Yamato Transport (S) Pte. Ltd.,02 Feb 2019,03 Jan 2019,Permanent,"Roles & Responsibilities Responsible for day to day management of all aspects of customer service.   Order taking via phone / fax & online.   Order entering for those via phone, email and fax.   Answering queries, package delivery updates/status.   Promote excellent customer service and ensure satisfaction is delivered consistently.   Greet customers warmly and ascertain problem or reason for calling with personal touch.   Work well with sales and operation team and fellow customer service officers to ensure exceptionally high standard of service is being delivered.   General affair (purchasing/management of stationery & equipment).   Billing work (invoicing / data inputting). ",Requirements Higher NITEC or Diploma or its equivalent.   Good understanding of customer account management.   Friendly and Customer Service Driven.   Proficient in MS Office.   A Team Player.   Minimum 1 year of relevant customer service experience.   Good attendance and punctuality.   Fluent in English and Japanese language (speaking & writing) as this position requires to liaise with Japanese Speaking clients. Japanese language proficiency with JLPT N1 or N2. ,Customer Service Officer (Japanese Speaking),3.0,,,,Non-Executive
